06.01.05.01;DDAS;|DDAS|
06.01.05.02;Ministère de l'Agriculture;|MAGRI|
06.01.05.03;Ministère de l'Education Nationale;|MEDUN|
06.01.05.04;Ministère de la Jeunesse et des Sports;|MJETS|
06.01.05.05;Ministère du Tourisme;|MTOUR|
06.03.01.01.01;1 tournesol;
06.03.01.01.02;2 tournesols;
06.03.01.01.03;3 tournesols;
06.03.01.01.04;En cours de classement (ECC);
06.03.01.02.01;1 soleil;
06.03.01.02.02;2 soleils;
06.03.01.02.03;3 soleils;
06.03.01.02.04;En cours de classement (ECC);
06.03.01.03.01;1 épi;|1EP|
06.03.01.03.02;2 épis;|2EP|
06.03.01.03.03;3 épis;|3EP|
06.03.01.03.04;4 épis;|4EP|
06.03.01.03.05;En cours de classement (ECC);|ENC|
06.03.02.01.01;Gîtes et Cheval;|GCHEV|
06.03.02.01.02;Gîtes de neige;|GNEIG|
06.03.02.01.03;Gîtes Panda;|GPAND|
06.03.02.01.04;Gîtes de pêche;|GPECH|
06.03.02.01.05;Gîtes de Prestige;|GPRES|
06.03.02.01.06;Vignoble;|GVIGN|
06.03.02.01.07;1 épi;|1EP|
06.03.02.01.08;2 épis;|2EP|
06.03.02.01.09;3 épis;|3EP|
06.03.02.01.10;4 épis;|4EP|
06.03.02.01.11;5 épis;|5EP|
06.03.02.01.12;En cours de classement (ECC);|ENC|
06.03.02.02.01;1 clé;|1CLE|
06.03.02.02.02;2 clés;|2CLE|
06.03.02.02.03;3 clés;|3CLE|
06.03.02.02.04;4 clés;|4CLE|
06.03.02.02.05;5 clés;|5CLE|
06.03.02.02.06;En cours de classement (ECC);
06.03.03.01.01;1 cheminée (bon confort);
06.03.03.01.02;2 cheminées (très bon confort);
06.03.03.01.03;3 cheminées (grand confort);
06.03.04.03.01;Auberge de pays;
06.03.04.03.02;Table de terroir;
06.03.04.03.03;Table gastronomique;
06.03.04.03.04;Table de prestige;
06.03.05.01.01;1 Lutin bleu (simple);|BLEU1|
06.03.05.01.02;2 Lutins bleus (variés);|BLEU2|
06.03.05.01.03;3 Lutins bleus (nombreux et variés);|BLEU3|
06.03.05.01.04;1 Lutin blanc (simple);|BLAN1|
06.03.05.01.05;2 Lutins blancs (variés);|BLAN2|
06.03.05.01.06;3 Lutins blancs (divers et variés);|BLAN3|
06.03.05.01.07;1 Lutin rouge (simple et complets);|ENC|
06.03.05.01.08;2 Lutins rouges (bon et complets);|ROUG1|
06.03.05.01.09;3 Lutins rouges (très bon et complets);|ROUG2|
06.03.05.01.10;En cours de classement (ECC);|ENC||ENC||ROUG3|
06.03.06.12.01;1 étoile;
06.03.06.12.02;2 étoiles;
06.03.06.12.03;3 étoiles;
06.04.01.01.01;1 étoile;|CAT1|
06.04.01.01.02;2 étoiles;|CAT2|
06.04.01.01.03;3 étoiles;|CAT3|
06.04.01.01.04;4 étoiles;|CAT4|
06.04.01.01.05;En cours de classement (ECC);|ENC|
06.04.01.01.06;Non concerné;|NCONC|
06.04.01.01.07;Syndicat d'initiative;|SI|
06.04.01.01.08;Non Classé (Non classé);
06.04.01.02.01;1 étoile;|CAT1|
06.04.01.02.02;2 étoiles;|CAT2|
06.04.01.02.03;3 étoiles;|CAT3|
06.04.01.02.04;4 étoiles;|CAT4|
06.04.01.02.05;Aire Naturelle (Aire naturelle);
06.04.01.02.06;Hôtelier;|CAT4L|
06.04.01.02.07;En cours de classement (ECC);
06.04.01.02.08;Non Classé;
06.04.01.02.09;Saisonnier;
06.04.01.02.10;Tourisme;
06.04.01.03.01;1 étoile;|CAT1|
06.04.01.03.02;2 étoiles;|CAT2|
06.04.01.03.03;3 étoiles;|CAT3|
06.04.01.03.04;4 étoiles;|CAT4|
06.04.01.03.05;4 étoiles Luxe;|CAT4L|
06.04.01.03.06;En cours de classement (ECC);|ENC|
06.04.01.03.07;Hôtel de préfecture;|HPREF|
06.04.01.03.08;Sans étoile (Location de vélo);|SET|
06.04.01.03.09;Non Classé;
06.04.01.03.10;Tourisme;
06.04.01.04.01;1 étoile;|CAT1|
06.04.01.04.02;2 étoiles;|CAT2|
06.04.01.04.03;3 étoiles;|CAT3|
06.04.01.04.04;4 étoiles;|CAT4|
06.04.01.04.05;5 étoiles;|CAT5|
06.04.01.04.06;En cours de classement (ECC);|ENC|
06.04.01.04.07;Non Classé;|NOCLA|
06.04.01.05.01;Restaurant de tourisme (Tourisme);|RTOU|
06.04.01.05.02;Non Classé;|NOCLA|
06.04.01.06.01;Confort;|CONF|
06.04.01.06.02;En cours de classement (ECC);|ENC|
06.04.01.06.03;Grand confort;|GCONF|
06.04.01.06.04;Non Classé;
06.05.01;Handicap auditif;|AUD|
06.05.02;Handicap mental;|MEN|
06.05.03;Handicap moteur;|MOT|
06.05.04;Handicap visuel;|VIS|
