02.01.01;Activités sportives / culturelles / séjour itinérants;|ASC|
02.01.01.01;Activités culturelles;|CULT|
02.01.01.02;Activités sportives;|SPORT|
02.01.01.04;Formules itinérantes;|FIT|
02.01.02;Dégustation;|DEG|
02.01.02.01;Produits;
02.01.02.02;Statut de l'exploitant;
02.01.03;Fêtes et Manifestations;|FMA|
02.01.04;Hébergement locatif;|HLO|
02.01.05;Hôtellerie;|HOT|
02.01.06;Hôtellerie de plein air;|HPA|
02.01.07;Itinéraires touristiques;|ITI|
02.01.08;Loisirs;|LOI|
02.01.09;Multimédia;|MUL|
02.01.10;Organismes;|ORG|
02.01.11;Patrimoine culturel;|PCU|
02.01.12;Patrimoine naturel;|PNA||PNA|
02.01.13;Restauration;|RES|
02.01.14;Hébergement d'accueil collectif;|VIL|
02.01.15;Produits touristiques;
