15.01.01;Mobilité réduite;
15.02.01;Animation;|ANIM||ANIM||ANIM|
15.02.02;Animation thématique spécifique;|ANSPE|
15.02.03;Atelier pédagogique;
15.02.04;Atelier pour adultes;
15.02.05;Atelier pour enfants;
15.02.06;Baignade;
15.02.07;Baignade surveillée;
15.02.08;Balnéothérapie;
15.02.09;Camping naturiste;
15.02.10;Canotage;
15.02.11;Chasse;
15.02.12;Colloques;
15.02.13;Concerts;
15.02.14;Conférences;
15.02.15;Dégustation de produits;
15.02.16;Équitation (Equitation);
15.02.17;Equitation (centre équestre) (Centre équestre);
15.02.18;Escalade;
15.02.19;Escalade (varappe);
15.02.20;Expositions temporaires;
15.02.21;Golf;
15.02.22;Location de vélos (Location de vélo);
15.02.23;Montgolfière;
15.02.24;Musculation;
15.02.25;Musée;
15.02.26;Nautisme;
15.02.27;Parapente;
15.02.28;Parc à thèmes;
15.02.29;Parcours botanique;
15.02.30;Parcours de santé;
15.02.31;Pêche;
15.02.32;Pétanque;
15.02.33;Piano;
15.02.34;Ping-Pong (Ping-pong);
15.02.35;Piscine collective;
15.02.36;Plage surveillée;
15.02.37;Planche à voile;
15.02.38;Produits fermiers;
15.02.39;Randonnée pédestre (Randonnées);
15.02.40;Remise en forme;
15.02.41;Sentier de randonnée;
15.02.42;Ski alpin;
15.02.43;Ski de fond;
15.02.44;Snowboard;
15.02.45;Soirées-animations;
15.02.46;Son et Lumière;
15.02.47;Spectacles;
15.02.48;Spéléologie;
15.02.49;Sports aériens;
15.02.50;Sports d'eau vive;
15.02.51;Sports de corde;
15.02.52;Stages;
15.02.53;Station de ski de fond;
15.02.54;Station de ski de piste;
15.02.55;Station ski;
15.02.56;Téléphérique touristique;
15.02.57;Téléskinautique;
15.02.58;Tennis collectif;
15.02.59;Thalassothérapie;
15.02.60;Théâtre (Théatre);
15.02.61;Thermalisme;
15.02.62;Thermoludisme;
15.02.63;Trains touristiques;
15.02.64;Vélo;
15.02.65;Vivarium - Aquarium;
15.02.66;Voile;
15.02.67;Voile-Planche à voile;
15.02.68;VTT;
15.02.69;VTT - Vélo;
15.02.70;Yacht Club;
15.02.71;Zoo – parc animalier;
15.02.72;Naturisme;
15.03.01;Accès Internet;|NET||NET|
15.03.02;Accès Internet dans les chambres;|NETCC|
15.03.03;Air conditionné;
15.03.04;Aspirateur;
15.03.05;Baignade;
15.03.06;Baignoire;|BAIGN|
15.03.07;Câble / Satellite (Câble/ satellite);|CABLE||CABLE||CABLE|
15.03.08;Canal+;
15.03.09;Chambres non fumeur;
15.03.10;Chauffage;|CHAUF||CHAUF|
15.03.11;Cheminée;|CHEMI||CHEMI|
15.03.12;Cheminée en fonction;
15.03.13;Cheminée en fonctionnement;
15.03.14;Climatisation;|CLIM||CLIM|
15.03.15;Coffre;|COFFR|
15.03.16;Congélateur;|CONGE||CONGE|
15.03.17;Cuisine - coin cuisine;
15.03.18;Double vitrage;|DVITR||DVITR|
15.03.19;Douche;|DOUCH|
15.03.20;Douches chaudes;
15.03.21;Draps et linges compris;|DRAPS||DRAPS|
15.03.22;Eau chaude;
15.03.23;Four;|FOUR||FOUR|
15.03.24;Installations pour handicapés;
15.03.25;Kitchenette;|KITCH||KITCH|
15.03.26;Lavabos eau chaude;
15.03.27;Lave linge collectif;|LVCOL|
15.03.28;Lave linge privatif (Lave linge);|LGPRI||LVPRI|
15.03.29;Lave vaisselle;|LVAIS||LVAIS|
15.03.30;Lavoirs eau chaude;
15.03.31;Lit bébé;
15.03.32;Lit enfant;
15.03.33;Machines à laver;
15.03.34;Magnétoscope;|MAGNE||MAGNE||MAGNE|
15.03.35;Mini-bar;|MINIB||MINIB|
15.03.36;Point d'eau potable;
15.03.37;Prise de télévision;|PTEL||PTEL|
15.03.38;Prise réseau (accès Internet depuis le logement);|PINFO|
15.03.39;Radio;
15.03.40;Réfrigérateur;|REFRI|
15.03.41;Sanitaires chauffés;
15.03.42;Sèche cheveux;|SCHEU|
15.03.43;Sèche linge collectif;|SLCOL|
15.03.44;Sèche linge privatif (Sèche linge);|SLPRI||SLPRI|
15.03.45;Sèche serviettes;|SSERV|
15.03.46;Chaise bébé (Siège pour bébé);
15.03.47;Table à langer;
15.03.48;Tél. en téléséjour;
15.03.49;Tél. en Téléséjour;
15.03.50;Tél. portable à carte;
15.03.51;Tél. récept° uniquemt;
15.03.52;Télécopie (Fax);
15.03.53;Téléphone (Téléphone );|TEL||PTDIR||TEL|
15.03.54;Téléphone direct;
15.03.55;Téléphone réservé aux clients;
15.03.56;Télévision;|TELCO|
15.03.57;Télévision cablée;
15.03.58;Télévision couleur;|TVCO||TVCO|
15.03.59;Télex;
15.03.60;Terrasse privative;|TERPR|
15.03.61;Terrasse privative/Balcon;|TERPR|
15.03.62;Toilette séparée;|TSEPA|
15.04.01;Encadrement " Astronomie ";|CECIT|
15.04.02;Encadrement " Cheval ";|EAERI|
15.04.03;Encadrement " Dessin ";|EASTR|
15.04.04;Encadrement " Ecole du cirque ";|ATELA||ECHEV|
15.04.05;Encadrement " Escalade ";|ATENF||ECIRQ|
15.04.06;Encadrement " Faune et Flore ";|BAIGN||EDESS|
15.04.07;Encadrement " Informatique ";|BASUR||EESCA|
15.04.08;Encadrement " Neige ";|BALN||BALN||EFAFL|
15.04.09;Encadrement " Patinoire ";|EINFO|
15.04.10;Encadrement " Pêche ";|CANOT||ENEIG|
15.04.11;Encadrement " Randonnée pédestre ";|EPATI|
15.04.12;Encadrement " Sports aériens ";|COLLO||EPECH|
15.04.13;Encadrement " Tir à l'arc ";|ERAND|
15.04.14;Encadrement " Vignoble ";|CONFE||ETIRA|
15.04.15;Encadrement " VTT ";|EVIGN|
15.04.16;Encadrement pour " Handicapés mentaux ";|EQUIT||EQUIT||EQUIT||EQUIT||EVTT|
15.04.17;Encadrement pour " Mal entendants ";|HANDI|
15.04.18;Encadrement pour " Mal voyants ";|RMOBI|
15.04.19;Encadrement pour " Mobilité réduite ";|SURDI|
15.05.01;A proximité propriétaire;|APROP|
15.05.02;Abris pour vélo ou VTT;
15.05.03;Abri couvert;|ABCOU|
15.05.04;Accès handicapés;
15.05.05;Aire de jeux (Aire de jeux enfants);|AIRJE|
15.05.06;Aire de pique-nique;
15.05.07;Ascenseur;|ASC||ASC||ASC|
15.05.08;Auditorium;|AUDIT||AUDIT|
15.05.09;Bac à sable;
15.05.10;Balançoire;
15.05.11;Balnéothérapie;|BALNE|
15.05.12;Bar (Bar, caféterie, salon de thé);|BAR||BAR||BAR||BAR||BAR|
15.05.13;Bar à thème;
15.05.14;Barbecue;
15.05.15;Base de canoë kayak;
15.05.16;Base de loisirs;
15.05.17;Bibliothèque;|BIBLI||BIBLI|
15.05.18;Billard;|BILLA|
15.05.19;Boulodrome;|BOULE||BOULE||BOULE||BOULE|
15.05.20;Boutiques;|BOUTI||BOUTI|
15.05.21;Bowling;|BOWL|
15.05.22;Branchements d'eau;|BREAU|
15.05.23;Branchements électriques;|BRELE|
15.05.24;Cabine téléphonique / Point Phone;|CABTE||CABTE||CABTE|
15.05.25;Canoë-Kayak;
15.05.26;Caravaneige;
15.05.27;Casino;
15.05.28;Centre de remise en forme;
15.05.29;Cinéma;|CINEM|
15.05.30;Circuit automobile ou moto;
15.05.31;Cour;|COUR|
15.05.32;Discothèque;|DISCO||DISCO||DISCO||DISCO|
15.05.33;Emplacement camping car;|EMPCC|
15.05.34;Entrée indépendante;|ENTIN|
15.05.35;Equipements enfants (Lits, chaises);|EBEBE|
15.05.36;Etablissement thermal;
15.05.37;Etage;|ETAGE|
15.05.38;Evacuation des eaux usées;|EVAC|
15.05.39;Garage;|GARAG|
15.05.40;Garage mort;|GARMO|
15.05.41;Garage privé;|GARPR||GARPR||GARPR|
15.05.42;Gymnase;
15.05.43;Habitation indépendante;|INDEP|
15.05.44;Hammam;|HAMAM|
15.05.45;Hippodrome;
15.05.46;House boat (fleuve);
15.05.47;Jacuzzi;|JACUZ|
15.05.48;Jardin (Parc/Jardin);|JARD||JARD||JARD|
15.05.49;Jardin commun;|JCOM|
15.05.50;Jardin indépendant;|JINDE|
15.05.51;Jardin Ombragé;
15.05.52;Jeux pour enfants (Jeux pour enfants / Ludothèque);|JENFA||JENFA||JENFA||JENFA||JENFA|
15.05.53;Lac;
15.05.54;Lac baignade;
15.05.55;Lac et Plan d'eau;
15.05.56;Local matériel fermé;|LOCMA||FERMA|
15.05.57;Matériel de sport;|MATSO||MATSO|
15.05.58;Médiathèque;|MEDIA|
15.05.59;Mini-golf (Mini golf);|MINGO||MINGO||MINGO||MINGO|
15.05.60;Mitoyen locataire;|MITLO|
15.05.61;Mitoyen propriétaire;|MITPO|
15.05.62;Ombrage partiel;
15.05.63;Parc (Parc/Jardin);|PARC||PARC||PARC|
15.05.64;Parking;|PARK|
15.05.65;Parking autocar (Parking autocars);
15.05.66;Parking mort;
15.05.67;Parking privé;|PARPR||PARPR||PARPR|
15.05.68;Patinoire;
15.05.69;Piano bar;|PIANB||PIANB||PIANB|
15.05.70;Piscine;|PISC||PISC||PISC||PISC||PISC|
15.05.71;Piscine couverte;|PCOUV|
15.05.72;Piscine découverte;
15.05.73;Piscine enfants;|PENFA|
15.05.74;Piscine plein air;
15.05.75;Piste de luge / bobsleigh;
15.05.76;Piste de luge d’été;
15.05.77;Piste de roller ou de skate board;
15.05.78;Piste de ski alpin;
15.05.79;Piste de ski de fond;
15.05.80;Plage;
15.05.81;Plage surveillée;
15.05.82;Plan d'eau;
15.05.83;Plain Pied;|PLPIE|
15.05.84;Port de plaisance;
15.05.85;Portique;
15.05.86;Restaurant;|RESTO||RESTO||RESTO|
15.05.87;Rivière;
15.05.88;Salle à manger privée;|SAMPR|
15.05.89;Salle d'animation;
15.05.90;Salle d'eau commune;|SBCOM|
15.05.91;Salle d'eau privée;|SEPRI|
15.05.92;Salle de bain commune;|SECOM|
15.05.93;Salle de bain privée;|SBPRI|
15.05.94;Salle de billard;
15.05.95;Salle de gym;
15.05.96;Salle de jeux;|SALJE|
15.05.97;Salle de projection;|SALPR||SALPR|
15.05.98;Salle de remise en forme;
15.05.99;Salle de réunion (Salle de réunion équipée);|SALRE||SALRE||SALRE|
15.05.100;Salle de spectacle;
15.05.101;Salle de sport;|SALSP||SALSP||SALSP|
15.05.102;Salle des fêtes-spectacle;
15.05.103;Salle hors-sac couverte;
15.05.104;Coin salon;
15.05.105;Salon;|SALON||SALON||SALON|
15.05.106;Salon de jardin;|SALJA|
15.05.107;Salon de télévision;|SALTV||SALTV||SALTV||SALTV|
15.05.108;Sanitaire commun;|SACOM|
15.05.109;Sanitaire privé;|SAPRI|
15.05.110;Sauna;|SAUNA||SAUNA||SAUNA|
15.05.111;Sentiers balisés;
15.05.112;Solarium;|SOLAR|
15.05.113;Squash (Salle de squash);|SQUA||SQUAS||SQUA|
15.05.114;Stade;
15.05.115;Sur une exploitation agricole;|EXPAG|
15.05.116;Tables de pique-nique;
15.05.117;Tennis;|TENNI||TENNI||TENNI||TENNI||TENNI|
15.05.118;Terrain clos;|TERCL|
15.05.119;Terrain de jeux équipé;
15.05.120;Terrain fermé la nuit;
15.05.121;Terrain non clos;|TERNC|
15.05.122;Terrain ombragé;
15.05.123;Terrasse;|TERRA||TERRA|
15.05.124;Terrasse balcon;|TERBA|
15.05.125;Toboggan;
15.05.126;Toilette séparée;|TOSEP|
15.05.127;Toilettes;
15.05.128;Tous commerces;
15.05.129;Tremplin;
15.05.130;Vélodrome;
15.05.131;WC publics;
15.05.132;Terrain semi-ombragé;
15.05.194;Remontée;
15.06.01;Accueil nuit;
15.06.02;Aérodrome;
15.06.03;Aéroport;
15.06.04;Animation thématique spécifique;
15.06.05;Animaux acceptés (Animaux admis);
15.06.06;Alimentation/Point alimentation;|ALIM|
15.06.07;Artothèque;
15.06.08;Autres commerces;
15.06.09;Baby Club;|BABY|
15.06.10;Baby Sitter;|BABYS|
15.06.11;Banquet;|BANQT|
15.06.12;Bar / buvette;|BAR|
15.06.13;Bateaux promenade;
15.06.14;Bibliothèque (Bibliothèque – Médiathèque);|BIBLI||BIBLI|
15.06.15;Blanchisserie;|BLANC||BLANC|
15.06.16;Boutique (Boutiques);|BOUT||BOUT||BOUTI|
15.06.17;Bureau de change;|BURCH||BURCH||CHANG|
15.06.18;Bureau des guides;
15.06.19;Cabine téléphonique / Point Phone (Cabine téléphonique);|CABTE|
15.06.20;Circuits touristiques;
15.06.21;Club Adolescents;|ADO|
15.06.22;Club de plage;
15.06.23;Club Enfants (Club enfants);|ENFAN|
15.06.24;Coffres clients;|COFFR||COFFR||COFFR|
15.06.25;Commerce alimentaire;|COMAL|
15.06.26;Commerces;
15.06.27;Commerces 1ère nécessité;
15.06.28;Cyber espace / bornes accès Internet;|CYBER|
15.06.29;Demi-pension;
15.06.30;Dépôt de gaz (Dépôt gaz);|DGAZ||DGAZ|
15.06.31;Dépôt de glace (Dépôt glace);|DGLAC||DGLAC|
15.06.32;Documentation Touristique (Documentation touristique);
15.06.33;Espace enfant;
15.06.34;Espace jeux;|ESPJE||ESPJE|
15.06.35;Espace Nordique;
15.06.36;Garderie (Garderie d'enfants);|GARD||GARD||GARD||GARD|
15.06.37;Halte Garderie;|GARDE||GARDE|
15.06.38;Halte nautique;
15.06.39;Information;|INFO|
15.06.40;Informations touristiques;|INFOT|
15.06.41;Lave linge;|LAVLI|
15.06.42;Lave linge collectif;|LAVLI|
15.06.43;Librairie;
15.06.44;Location bungalow;|LOCBW|
15.06.45;Location bungatoile;|LOCBU|
15.06.46;Location caravanes;|LOCAR|
15.06.47;Location de linge;|LOCLI||LOCLI|
15.06.48;Location de matériel;
15.06.49;Location de matériel de sport (Location matériel sport);|LOCSP||LOCSP|
15.06.50;Location mini-bus ou bus;
15.06.51;Location de mobil home;|LOCMH|
15.06.52;Location de TV;|LOCVI|
15.06.53;Location de vélos;|LOCVE|
15.06.54;Location de voiture;
15.06.55;Location des infrastructures;
15.06.56;Location matériel de sport;
15.06.57;Location tente/caravane;
15.06.58;Location tentes;|LOCTE|
15.06.59;Massages;
15.06.60;Médecin;
15.06.61;Médiathèque;|MEDIA||MEDIA|
15.06.62;Ménage quotidien;
15.06.63;Messages téléphoniques;|MESSA|
15.06.64;Minitel;|MINIT|
15.06.65;Navette aéroport ou gare;
15.06.66;Navette vers activités annexes;|NAVET|
15.06.67;Nettoyage / ménage;|NETTO||NETTO|
15.06.68;Nettoyage / ménage en fin de séjour;|FINSE|
15.06.69;Paniers Pique-nique;|PPICN|
15.06.70;Pharmacie;
15.06.71;Plats à emporter/Plats cuisinés;|PLCUI|
15.06.72;Plats cuisinés;|PLCUI|
15.06.73;Point argent;|CASH|
15.06.74;Point courrier;|COURI|
15.06.75;Réservation aériennes;
15.06.76;Réservation de prestations annexes (Réservations de prestations annexes);|RESPA||RESPA||RESPA||RESPA|
15.06.77;Réservation excursions;
15.06.78;Réservation spectacles;
15.06.79;Réservations de dernière minute;|RESDM|
15.06.80;Réservations de prestations extérieures;|RESPA|
15.06.81;Restaurant;|RESTO|
15.06.82;Restaurant enfants;|RENFA|
15.06.83;Réveillon de Noël pour groupes;
15.06.84;Room service;
15.06.85;Sèche linge collectif;|SLCOL|
15.06.86;Self service;|SELF|
15.06.87;Séminaire (Séminaires);|SEMIN||SEMIN|
15.06.88;Service en chambre;|SERCH||SERCH|
15.06.89;Surveillance de nuit (Veilleur de nuit);|SURNU|
15.06.90;Table d'hôte (Table d'hôtes);|TABHO|
15.06.91;Terrain fermé la nuit;|FERNU|
15.06.92;Traiteur;|TRAIT|
15.06.93;Vente de produits touristiques;|VTOUR|
15.06.94;Vestiaire;
15.06.95;Visite gratuite;
15.06.96;Visites guidées;|VGUID|
15.06.97;Voiturier;|VOITU||VOITU|
15.06.98;Ouverture 24/24;
15.06.99;Visites individuelles libres;
15.06.100;Visites individuelles guidées;
15.06.101;Visites groupes libres;
15.06.102;Visites groupes guidées;
15.06.103;Visites pédagogiques;
15.06.104;Vente à la propriété;
