08.02.04.01;Alsace;|ALS|
08.02.04.02;Aquitaine;|AQU|
08.02.04.03;Auvergne;|AUV|
08.02.04.04;Bourgogne;|BOU|
08.02.04.05;Bretagne;|BRE|
08.02.04.06;Centre Val de Loire;|CEN|
08.02.04.07;Champagne-Ardenne;|CHA|
08.02.04.08;Corse;|COR|
08.02.04.09;Franche-Comté;|FRC|
08.02.04.10;Guadeloupe;|GUA|
08.02.04.11;Guyane;|GUY|
08.02.04.12;Ile de France;|IDF|
08.02.04.13;Languedoc-Roussillon;|LAR|
08.02.04.14;Limousin;|LIM|
08.02.04.15;Lorraine;|LOR|
08.02.04.16;Martinique;|MAR|
08.02.04.17;Midi-Pyrénées;|MIP|
08.02.04.18;Normandie;|NOR|
08.02.04.19;Nord Pas de Calais;|NPC|
08.02.04.20;Provence Alpes Côte d'Azur;|PAC|
08.02.04.21;Poitou-Charentes;|PCH|
08.02.04.22;Pays de Loire;|PDL|
08.02.04.23;Picardie;|PIC|
08.02.04.24;Riviera Cote d'Azur;|RCA|
08.02.04.25;Réunion;|REU|
08.02.04.26;Rhône-Alpes;|RHA|
08.02.04.27;Tahiti;|TAH|
